rating_rank,title,year,genres
551,The Green Mile,,"Fantasy, Drama, Crime"
552,Oppenheimer,,"Drama, History"
553,Aparajito,,Drama
554,Anatomy of a Murder,,"Crime, Drama, Mystery"
555,I Am So Proud of You,,"Animation, Drama"
556,Voices Through Time,,Drama
557,The First Slam Dunk,,"Animation, Comedy, Drama"
558,The Ballad of Cleopatra,,Music
559,Land of the Lustrous,,
560,The Hunt,,"Action, Thriller, Horror"
561,Millennium Actress,,"Animation, Drama, Romance, Fantasy"
562,The Company of Strangers,,"Drama, Adventure"
563,Crash Landing on You,,"Music, Drama, Romance"
564,Make Way for Tomorrow,,"Drama, Romance"
565,BOCCHI THE ROCK!,,"Animation, Comedy, Music"
566,The Story of Film: An Odyssey,,
567,Light & Magic,,"Drama, Romance"
568,Magnolia,,Drama
569,The Holdovers,,"Comedy, Drama"
570,Amour,,"Drama, Romance"
571,Rabbit of Seville,,"Animation, Comedy, Music"
572,The Face of Another,,"Drama, Science Fiction"
573,Cabaret,,"Music, Drama, Romance"
574,Berlin Alexanderplatz,,Drama
575,Mr. Sunshine,,"Science Fiction, Comedy"
576,The Lion King,,"Family, Animation, Drama"
577,The Life and Death of Colonel Blimp,,"War, Drama, Romance, Comedy"
578,Happy Together,,"Drama, Romance"
579,Mobile Suit Gundam 0080: War in the Pocket,,"Action, Animation, Drama, Science Fiction, War"
580,The Best Years of Our Lives,,"Drama, Romance, War"
581,Malcolm X,,"Drama, History"
582,Talking Heads,,Documentary
583,Dynasties,,"Animation, Fantasy, Drama, Science Fiction"
584,Twins in Paradise,,"Animation, Drama"
585,Your Name.,,"Animation, Romance, Drama"
586,Harry Styles at the BBC,,"Music, Documentary"
587,The Truman Show,,"Comedy, Drama"
588,D.P.,,Horror
589,Kwaidan,,Documentary
590,A Charlie Brown Christmas,,"Animation, Family, Comedy, TV Movie"
591,Larry David: Curb Your Enthusiasm,,"Comedy, TV Movie"
592,Rhapsody in Blue,,"Drama, Music, Romance"
593,Kes,,Drama
594,Kizumonogatari Part 3: Reiketsu,,"Animation, Fantasy, Mystery"
595,Samsara,,"Drama, Music"
596,Jerrod Carmichael: Rothaniel,,Comedy
597,The Bob Emergency,,
598,Jeff Buckley - Live in Chicago,,"Music, Documentary"
599,An Autumn Afternoon,,Drama
600,Bring the Soul: The Movie,,"Music, Documentary"
601,The Disappearance of Haruhi Suzumiya,,"Comedy, Science Fiction, Mystery, Animation, Drama"
602,The Gleaners and I,,Documentary
603,"Rio, Zona Norte",,"Drama, Music"
604,Boogie Nights,,Drama
605,Disney Channel's Theme: A History Mystery,,
606,Once Upon a Time in America,,"Drama, Crime"
607,Happy Hour,,"Comedy, Drama"
608,Tokyo Godfathers,,"Animation, Drama, Comedy"
609,Lovely Runner,,
610,Cries and Whispers,,Drama
