popularity_rank,title,year,genres
334,The Black Phone,,"Horror, Thriller"
335,La Haine,,Drama
336,E.T. the Extra-Terrestrial,,"Science Fiction, Adventure, Family, Fantasy"
337,May December,,"Drama, Comedy"
338,One Flew Over the Cuckoo's Nest,,Drama
339,Cruella,,"Comedy, Crime"
340,Kiki's Delivery Service,,"Animation, Family, Fantasy"
341,Furiosa: A Mad Max Saga,,"Action, Adventure, Science Fiction"
342,Ponyo,,"Animation, Fantasy, Family"
343,Kung Fu Panda,,"Animation, Family, Fantasy"
344,Before Sunset,,"Drama, Romance"
345,The Exorcist,,"Horror, Drama"
346,The Hunger Games: Mockingjay – Part 2,,"Action, Adventure, Science Fiction"
347,Stand by Me,,"Crime, Drama"
348,13 Going on 30,,"Comedy, Fantasy, Romance"
349,Manchester by the Sea,,Drama
350,Train to Busan,,"Horror, Thriller, Action, Adventure"
351,A Star Is Born,,"Music, Drama, Romance"
352,The Big Short,,"Comedy, Drama"
353,Beetlejuice,,"Fantasy, Comedy"
354,Annihilation,,"Science Fiction, Horror"
355,Heat,,"Action, Crime, Drama"
356,The Imitation Game,,"History, Drama, Thriller, War"
357,Venom,,"Science Fiction, Action"
358,Easy A,,Comedy
359,Full Metal Jacket,,"Drama, War"
360,The Amazing Spider-Man 2,,"Action, Adventure, Science Fiction"
361,Wonder Woman,,"Action, Adventure, Fantasy"
362,Chungking Express,,"Drama, Comedy, Romance"
363,Fallen Angels,,"Action, Romance, Crime"
364,Casablanca,,"Drama, Romance"
365,Toy Story 4,,"Family, Adventure, Animation, Comedy, Fantasy"
366,Free Guy,,"Comedy, Adventure, Science Fiction"
367,Smile,,"Horror, Mystery, Thriller"
368,The Fabelmans,,Drama
369,The Green Mile,,"Fantasy, Drama, Crime"
370,School of Rock,,"Comedy, Music"
371,Memories of Murder,,"Crime, Drama, Thriller"
372,Grave of the Fireflies,,Drama
373,Ant-Man and the Wasp,,"Action, Adventure, Science Fiction"
374,The Lego Movie,,"Animation, Family, Adventure, Comedy, Fantasy"
